outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
APACHE,Disease severity score,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
course of treatment,Other,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
CRRT parameters,Extracorporeal parameters,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
CRRT parameters,Extracorporeal parameters,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
mechanical ventilation,Organ dysfunction/support,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
sepsis,Organ dysfunction/support,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
sepsis,Organ dysfunction/support,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
serum creatinine,Biomarkers,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
sex,Patient characteristics,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
SOFA,Disease severity score,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
weight,Patient characteristics,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
creatinine clearance,Physiological parameters,yes,CL,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
weight,Patient characteristics,NA,V,Liebchen,2021,https://dx.doi.org/10.3390/antibiotics10040468,Germany,retrospective PK study,155,no,normal,general ICU,meropenem
serum albumin,Biomarkers,yes,V,Liebchen,2021,https://dx.doi.org/10.3390/antibiotics10040468,Germany,retrospective PK study,155,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
weight,Patient characteristics,yes,V,Mathew,2016,https://dx.doi.org/10.1097/FTD.0000000000000323,India,prospective PK study,35,no,normal,sepsis,meropenem
age,Patient characteristics,no,NA,Mathew,2016,https://dx.doi.org/10.1097/FTD.0000000000000323,India,prospective PK study,35,no,normal,sepsis,meropenem
sex,Patient characteristics,no,NA,Mathew,2016,https://dx.doi.org/10.1097/FTD.0000000000000323,India,prospective PK study,35,no,normal,sepsis,meropenem
sepsis,Organ dysfunction/support,yes,CL,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
sex,Patient characteristics,yes,CL,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
age,Patient characteristics,yes,V,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
serum albumin,Biomarkers,yes,V,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
BMI,Patient characteristics,no,NA,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Klastrup,2020,https://dx.doi.org/10.1128/AAC.02556-19,Denmark,prospective PK study,78,no,normal,general ICU,piperacillin
height,Patient characteristics,no,NA,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
serum creatinine,Biomarkers,no,NA,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
weight,Patient characteristics,no,NA,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
CNS infection,Other,yes,CL,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
GFR,Physiological parameters,yes,CL,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
age,Patient characteristics,no,NA,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
BMI,Patient characteristics,no,NA,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
height,Patient characteristics,no,NA,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
serum creatinine,Biomarkers,no,NA,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
sex,Patient characteristics,no,NA,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
weight,Patient characteristics,no,NA,Murinova,2022,https://dx.doi.org/10.1136/ejhpharm-2022-003535,Czech Republic,retrospective PK study,144,no,normal,sepsis,meropenem
ethnicity,Patient characteristics,yes,CL,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
creatinine clearance,Physiological parameters,yes,CL,Layios,2022,https://dx.doi.org/10.1128/AAC.02052-21,Belgium,prospective PK study,32,no,normal,VAP,temocillin
weight,Patient characteristics,yes,"Q, V",Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
age,Patient characteristics,yes,V,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
ALP,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
ALT,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
AST,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
BMI,Patient characteristics,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
BSA,Patient characteristics,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
concomitant medications,Other,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
GGT,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
health status,Patient characteristics,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
height,Patient characteristics,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
LDH,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
occasion number,Other,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
renal function,Physiological parameters,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
serum bilirubin,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
serum creatinine,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
serum protein,Biomarkers,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
sex,Patient characteristics,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
study phase,Other,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
treatment,Other,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
weight,Patient characteristics,no,NA,Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
creatinine clearance,Physiological parameters,yes,CL,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
weight,Patient characteristics,yes,V,Nicasio,2009,https://dx.doi.org/10.1128/AAC.01141-08,USA,prospective PK study,26,no,normal,VAP,cefepime
age,Patient characteristics,no,NA,Nicasio,2009,https://dx.doi.org/10.1128/AAC.01141-08,USA,prospective PK study,26,no,normal,VAP,cefepime
APACHE,Disease severity score,no,NA,Nicasio,2009,https://dx.doi.org/10.1128/AAC.01141-08,USA,prospective PK study,26,no,normal,VAP,cefepime
ethnicity,Patient characteristics,no,NA,Nicasio,2009,https://dx.doi.org/10.1128/AAC.01141-08,USA,prospective PK study,26,no,normal,VAP,cefepime
sex,Patient characteristics,no,NA,Nicasio,2009,https://dx.doi.org/10.1128/AAC.01141-08,USA,prospective PK study,26,no,normal,VAP,cefepime
GFR,Physiological parameters,yes,CL,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
age,Patient characteristics,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
APACHE,Disease severity score,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
CHDF hemofilter,Extracorporeal parameters,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
CHDF intensity,Extracorporeal parameters,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
CRP,Biomarkers,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
IL-6,Biomarkers,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
serum albumin,Biomarkers,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
sex,Patient characteristics,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
SOFA,Disease severity score,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
urine output,Physiological parameters,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
weight,Patient characteristics,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
white cell count,Biomarkers,no,NA,Niibe,2020,https://dx.doi.org/10.1097/FTD.0000000000000741,Japan,prospective PK study,21,RRT,impaired,CRRT,meropenem
CRP,Biomarkers,yes,CL,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
APACHE,Disease severity score,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
patient type,Patient characteristics,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
serum albumin,Biomarkers,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
SOFA,Disease severity score,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
urine output,Physiological parameters,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Liebchen,2021,https://dx.doi.org/10.3390/antibiotics10040468,Germany,retrospective PK study,155,no,normal,general ICU,meropenem
serum albumin,Biomarkers,no,NA,Nonoshita,2020,https://dx.doi.org/10.1038/s41598-020-79076-6,Japan,prospective PK study,21,RRT,impaired,general ICU,doripenem
weight,Patient characteristics,no,NA,Nonoshita,2020,https://dx.doi.org/10.1038/s41598-020-79076-6,Japan,prospective PK study,21,RRT,impaired,general ICU,doripenem
dialysis,Organ dysfunction/support,yes,CL,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
diuresis,Physiological parameters,yes,CL,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
GFR,Physiological parameters,yes,CL,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
renal function,Physiological parameters,yes,CL,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
BMI,Patient characteristics,no,NA,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
BSA,Patient characteristics,no,NA,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
weight,Patient characteristics,no,NA,O'Jeanson,2021,https://dx.doi.org/10.1007/s13318-021-00709-w,France,retrospective PK study,58,RRT,impaired,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,Ke,Mathew,2016,https://dx.doi.org/10.1097/FTD.0000000000000323,India,prospective PK study,35,no,normal,sepsis,meropenem
age,Patient characteristics,no,NA,Ollivier,2019,https://dx.doi.org/10.1128/AAC.02134-18,France,prospective PK study,21,no,normal,sepsis,ceftriaxone
serum albumin,Biomarkers,no,NA,Ollivier,2019,https://dx.doi.org/10.1128/AAC.02134-18,France,prospective PK study,21,no,normal,sepsis,ceftriaxone
sex,Patient characteristics,no,NA,Ollivier,2019,https://dx.doi.org/10.1128/AAC.02134-18,France,prospective PK study,21,no,normal,sepsis,ceftriaxone
weight,Patient characteristics,no,NA,Ollivier,2019,https://dx.doi.org/10.1128/AAC.02134-18,France,prospective PK study,21,no,normal,sepsis,ceftriaxone
serum albumin,Biomarkers,yes,V,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
age,Patient characteristics,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
anticoagulation,Extracorporeal parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
APACHE,Disease severity score,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
day of antibiotic therapy,Other,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
diuresis,Physiological parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
GFR,Physiological parameters,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
sepsis,Organ dysfunction/support,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
serum creatinine,Biomarkers,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
sex,Patient characteristics,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
SOFA,Disease severity score,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
weight,Patient characteristics,no,NA,Onichimowski,2020,https://dx.doi.org/10.1007/s43440-020-00104-3,Poland,prospective PK study,19,RRT,impaired,CRRT,meropenem
age,Patient characteristics,no,NA,Padulles Zamora,2019,https://dx.doi.org/10.1093/jac/dkz299,Spain,prospective PK study,12,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Padulles Zamora,2019,https://dx.doi.org/10.1093/jac/dkz299,Spain,prospective PK study,12,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Padulles Zamora,2019,https://dx.doi.org/10.1093/jac/dkz299,Spain,prospective PK study,12,RRT,impaired,CRRT,meropenem
sex,Patient characteristics,no,NA,Padulles Zamora,2019,https://dx.doi.org/10.1093/jac/dkz299,Spain,prospective PK study,12,RRT,impaired,CRRT,meropenem
weight,Patient characteristics,no,NA,Padulles Zamora,2019,https://dx.doi.org/10.1093/jac/dkz299,Spain,prospective PK study,12,RRT,impaired,CRRT,meropenem
creatinine clearance,Physiological parameters,yes,CL,Minichmayr,2018,https://dx.doi.org/10.1093/jac/dkx526,Germany,retrospective PK study,195,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
APACHE,Disease severity score,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
ascitic fluid albumin,Biomarkers,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
BMI,Patient characteristics,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
CRP,Biomarkers,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
height,Patient characteristics,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
serum albumin,Biomarkers,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
SOFA,Disease severity score,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
weight,Patient characteristics,no,NA,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
weight,Patient characteristics,yes,CL,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
weight,Patient characteristics,yes,"CL, V",Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
serum albumin,Biomarkers,yes,V,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
age,Patient characteristics,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
burns,Patient characteristics,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
burns,Patient characteristics,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
burns,Patient characteristics,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
creatinine clearance,Physiological parameters,yes,"CL, V",Nandy,2010,https://dx.doi.org/10.1128/AAC.01649-09,USA,retrospective PK study,285,no,unclear,sepsis,doripenem
CRRT,Organ dysfunction/support,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
urine output,Physiological parameters,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
creatinine clearance,Physiological parameters,yes,K10,Nicasio,2009,https://dx.doi.org/10.1128/AAC.01141-08,USA,prospective PK study,26,no,normal,VAP,cefepime
age,Patient characteristics,no,NA,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
BMI,Patient characteristics,no,NA,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
serum creatinine,Biomarkers,no,NA,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
SOFA,Disease severity score,no,NA,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
weight,Patient characteristics,no,NA,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
weight,Patient characteristics,no,NA,Roberts,2009,https://dx.doi.org/10.1093/jac/dkp139,Australia,prospective PK study,10,no,unclear,sepsis,meropenem
weight,Patient characteristics,yes,CL,Roberts,2010,https://dx.doi.org/10.1016/j.ijantimicag.2009.10.008,Australia,prospective randomised PK trial,16,no,normal,sepsis,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Nonoshita,2020,https://dx.doi.org/10.1038/s41598-020-79076-6,Japan,prospective PK study,21,RRT,impaired,general ICU,doripenem
SOFA,Disease severity score,no,NA,Roberts,2011,https://doi.org/10.1128%2FAAC.01543-15,Malaysia,prospective PK study,12,no,normal,sepsis,doripenem
weight,Patient characteristics,no,NA,Roberts,2011,https://doi.org/10.1128%2FAAC.01543-15,Malaysia,prospective PK study,12,no,normal,sepsis,doripenem
creatinine clearance,Physiological parameters,yes,CL,Ollivier,2019,https://dx.doi.org/10.1128/AAC.02134-18,France,prospective PK study,21,no,normal,sepsis,ceftriaxone
weight,Patient characteristics,yes,V,Roberts,2013,https://dx.doi.org/10.1097/CCM.0b013e31826ab4c4,International,retrospective PK study,31,no,augmented,pneumonia,doripenem
age,Patient characteristics,no,NA,Roberts,2013,https://dx.doi.org/10.1097/CCM.0b013e31826ab4c4,International,retrospective PK study,31,no,augmented,pneumonia,doripenem
height,Patient characteristics,no,NA,Roberts,2013,https://dx.doi.org/10.1097/CCM.0b013e31826ab4c4,International,retrospective PK study,31,no,augmented,pneumonia,doripenem
serum creatinine,Biomarkers,no,NA,Roberts,2013,https://dx.doi.org/10.1097/CCM.0b013e31826ab4c4,International,retrospective PK study,31,no,augmented,pneumonia,doripenem
sex,Patient characteristics,no,NA,Roberts,2013,https://dx.doi.org/10.1097/CCM.0b013e31826ab4c4,International,retrospective PK study,31,no,augmented,pneumonia,doripenem
age,Patient characteristics,no,NA,Roberts,2014,https://dx.doi.org/10.1093/jac/dku177,Australia,prospective PK study,12,RRT,impaired,CRRT,doripenem
CRRT parameters,Extracorporeal parameters,yes,NA,Roberts,2014,https://dx.doi.org/10.1093/jac/dku177,Australia,prospective PK study,12,RRT,impaired,CRRT,doripenem
sex,Patient characteristics,no,NA,Roberts,2014,https://dx.doi.org/10.1093/jac/dku177,Australia,prospective PK study,12,RRT,impaired,CRRT,doripenem
weight,Patient characteristics,no,NA,Roberts,2014,https://dx.doi.org/10.1093/jac/dku177,Australia,prospective PK study,12,RRT,impaired,CRRT,doripenem
weight,Patient characteristics,yes,"CL, V",Roberts,2015,https://dx.doi.org/10.1186/s13054-015-0818-8,Australia,prospective PK study,24,RRT,impaired,CRRT,"meropenem, piperacillin"
creatinine clearance,Physiological parameters,yes,CL,Pokem,2022,https://dx.doi.org/10.3390/antibiotics11070898,Belgium,prospective PK study,19,no,unclear,septic shock,temocillin
serum albumin,Biomarkers,yes,V,Roberts,2015,https://dx.doi.org/10.1093/jac/dku564,Australia,prospective PK study,30,no,normal,trauma,cefazolin
weight,Patient characteristics,yes,V,Roberts,2015,https://dx.doi.org/10.1093/jac/dku564,Australia,prospective PK study,30,no,normal,trauma,cefazolin
GFR,Physiological parameters,yes,CL,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
serum albumin,Biomarkers,yes,CL,Roelofsen,2023,https://dx.doi.org/10.1111/bcp.15487,Netherlands,prospective PK study,92,no,unclear,general ICU,cefotaxime
